GEO.id,GEO.id2,GEO.display-label,HC01_VC118,HC02_VC118,HC03_VC118,HC04_VC118
Id,Id2,Geography,Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars)
0400000US01,01,Alabama,24091,130,(X),(X)
0400000US02,02,Alaska,33413,399,(X),(X)
0400000US04,04,Arizona,25848,124,(X),(X)
0400000US05,05,Arkansas,22798,154,(X),(X)
0400000US06,06,California,30318,91,(X),(X)
0400000US08,08,Colorado,32217,150,(X),(X)
0400000US09,09,Connecticut,38803,249,(X),(X)
0400000US10,10,Delaware,30554,300,(X),(X)
0400000US11,11,District of Columbia,47675,568,(X),(X)
0400000US12,12,Florida,26829,120,(X),(X)
0400000US13,13,Georgia,25737,123,(X),(X)
0400000US15,15,Hawaii,29822,210,(X),(X)
0400000US16,16,Idaho,23399,238,(X),(X)
0400000US17,17,Illinois,30494,125,(X),(X)
0400000US18,18,Indiana,25346,107,(X),(X)
0400000US19,19,Iowa,27950,166,(X),(X)
0400000US20,20,Kansas,27706,195,(X),(X)
0400000US21,21,Kentucky,24063,148,(X),(X)
0400000US22,22,Louisiana,24981,159,(X),(X)
0400000US23,23,Maine,27655,255,(X),(X)
0400000US24,24,Maryland,36897,162,(X),(X)
0400000US25,25,Massachusetts,36895,172,(X),(X)
0400000US26,26,Michigan,26607,98,(X),(X)
0400000US27,27,Minnesota,32157,141,(X),(X)
0400000US28,28,Mississippi,21057,157,(X),(X)
0400000US29,29,Missouri,26259,132,(X),(X)
0400000US30,30,Montana,26381,270,(X),(X)
0400000US31,31,Nebraska,27882,165,(X),(X)
0400000US32,32,Nevada,26541,186,(X),(X)
0400000US33,33,New Hampshire,34362,316,(X),(X)
0400000US34,34,New Jersey,36582,146,(X),(X)
0400000US35,35,New Mexico,24012,194,(X),(X)
0400000US36,36,New York,33236,129,(X),(X)
0400000US37,37,North Carolina,25920,121,(X),(X)
0400000US38,38,North Dakota,32035,317,(X),(X)
0400000US39,39,Ohio,26953,107,(X),(X)
0400000US40,40,Oklahoma,25032,128,(X),(X)
0400000US41,41,Oregon,27684,162,(X),(X)
0400000US42,42,Pennsylvania,29291,88,(X),(X)
0400000US44,44,Rhode Island,31118,275,(X),(X)
0400000US45,45,South Carolina,24604,135,(X),(X)
0400000US46,46,South Dakota,26747,231,(X),(X)
0400000US47,47,Tennessee,25227,119,(X),(X)
0400000US48,48,Texas,26999,85,(X),(X)
0400000US49,49,Utah,24686,150,(X),(X)
0400000US50,50,Vermont,29894,306,(X),(X)
0400000US51,51,Virginia,34152,143,(X),(X)
0400000US53,53,Washington,31762,134,(X),(X)
0400000US54,54,West Virginia,23450,223,(X),(X)
0400000US55,55,Wisconsin,28340,111,(X),(X)
0400000US56,56,Wyoming,29803,429,(X),(X)
0400000US72,72,Puerto Rico,11394,84,(X),(X)
